question,intent
Required certificates?,documents
Migration certificate needed?,documents
Transfer certificate required?,documents
Do I need Aadhaar?,documents
Passport photo required?,documents
Marksheet needed?,documents
Identity proof?,documents
Income certificate?,documents
Category certificate?,documents
Medical certificate?,documents
How many photos?,documents
Original documents?,documents
Photocopies required?,documents
Document verification?,documents
Upload documents online?,documents
Application documents?,documents
What should I bring?,documents
List of required documents?,documents
Do I need a birth certificate?,documents
Can I upload PDFs?,documents
Is self-attestation allowed?,documents
Do I need domicile certificate?,documents
When are documents verified?,documents
University contact number?,contact
Email address?,contact
Admission office contact?,contact
Where is the university located?,contact
Campus address?,contact
Office timings?,contact
How can I contact admissions?,contact
Customer support?,contact
WhatsApp number?,contact
Helpline number?,contact
Website?,contact
Google Maps location?,contact
Registrar office?,contact
Contact details?,contact
Reception number?,contact
Who should I contact?,contact
Counselor details?,contact
Admission office email?,contact
Campus phone number?,contact
Support email?,contact
Can I visit the campus?,contact
Where is the admissions office?,contact
Who is the dean?,contact
What are office hours?,contact
Emergency contact number?,contact
Do you have a library?,facilities
Sports facilities?,facilities
Gym available?,facilities
WiFi on campus?,facilities
Computer labs?,facilities
AI laboratory?,facilities
Cafeteria?,facilities
Medical facilities?,facilities
Parking available?,facilities
Transport facility?,facilities
Bus service?,facilities
Auditorium?,facilities
Research labs?,facilities
Smart classrooms?,facilities
Student clubs?,facilities
Events conducted?,facilities
Campus infrastructure?,facilities
Innovation center?,facilities
Incubation center?,facilities
Campus facilities?,facilities
Do you have a swimming pool?,facilities
Is there a study hall?,facilities
Are there makerspaces?,facilities
Is campus accessible?,facilities
Do you have conference halls?,facilities
